rooms,price,flat_area,district,address,latitude,longitude,subway,prestigious
1,44328.0,100.0,Печерський,"Підвисоцького професора вул., 4в",50.41242218,30.54315186,,3
1,10000.0,71.0,Дарницький,"Пчілки Олени вул., 2- Б",50.41721344,30.62572479,,1
1,44328.0,115.0,Печерський,"Іоана Павла II вул. (Лумумби Патріса), 12",50.41983414,30.53299332,Палац Україна,3
2,59104.0,179.0,Шевченківський,"Назарівська вул. (Вєтрова), 11",50.44282913,30.49997902,,3
1,7000.0,60.0,Оболонський,"Кондратюка Юрія вул., 4А",50.52526093,30.45709229,,2
2,17000.0,136.0,Дніпровський,"Регенераторна вул., 4",50.43754959,30.62131691,,1
1,16000.0,77.0,Голосіївський,"Заболотного академіка вул., 1Б",50.37073898,30.46164513,Іподром,3
2,15000.0,95.0,Печерський,"Євгена Коновальця вул. (Щорса), 37",50.42713928,30.53526878,,3
1,10500.0,65.0,Дарницький,"Ісмаїла Гаспринського вул. (Сормовська), 3",50.4280014,30.64779282,,1
2,20000.0,163.0,Печерський,"Євгена Коновальця вул. (Щорса), 44а",50.4232254,30.53857231,,3
3,18000.0,119.0,Голосіївський,"Антоновича вул. (Горького), 88",50.42528152,30.51383018,Олімпійська,3
1,20000.0,80.0,Шевченківський,"Шолуденка вул., 1 а",50.45090866,30.47659874,,3
2,20000.0,110.0,Шевченківський,"Львівська пл., 4 а",50.45596313,30.5069809,,3
2,40634.0,140.0,Шевченківський,"Глибочицька вул., 32б",50.46211243,30.4941864,,3
3,11000.0,147.0,Дарницький,"Чавдар Єлизавети вул., 38",50.39126587,30.62709999,,1
1,10500.0,73.0,Дарницький,"Драгоманова вул., 8",50.41436768,30.63573647,,1
3,29552.0,150.0,Шевченківський,"Софіївська вул., 25а",50.452232359999996,30.51700211,,3
4,35093.0,250.0,Печерський,"Хрещатик вул., 15",50.44762802,30.52567863,,3
1,10000.0,62.0,Святошинський,"Берестейський просп. (Перемоги), 67д",50.45711517,30.40949821,,2
3,40634.0,160.0,Шевченківський,"Хмельницького Богдана вул., 58а",50.44807053,30.50549698,,3
4,92350.0,365.0,Печерський,"Мазепи Івана вул. (Січневого Повстання), 16",50.44482803,30.54499626,,3
3,84962.0,335.0,Печерський,"Мазепи Івана вул. (Січневого Повстання), 10",50.44200134,30.54773712,,3
3,44328.0,264.0,Печерський,"Лесі Українки бульв., 7б",,,,3
1,14000.0,87.0,Дарницький,"Чавдар Єлизавети вул., 8",50.39093781,30.6239357,,1
3,62428.6,199.0,Дніпровський,"Окіпної Раїси вул., 18",50.4479332,30.58862495,,1
2,12000.0,81.0,Голосіївський,"Коломийський пров., 11",50.39070892,30.49214363,Васильківська,3
1,6000.0,59.0,Дніпровський,"Окіпної Раїси вул., 3б",50.4483223,30.59679794,,1
1,4500.0,63.0,Святошинський,"Булгакова вул., 2",50.40960312,30.40182686,,2
3,132984.0,320.0,Шевченківський,"Назарівська вул. (Вєтрова), 19",50.44355774,30.49939919,,3
4,84962.0,385.0,Печерський,"Круглоуніверситетська вул., 18/2",50.44242096,30.52625465,,3
2,40634.0,110.0,Печерський,"Хрещатик вул., 25",50.44446182,30.52277946,,3
2,11000.0,100.0,Оболонський,"Бережанська вул., 18",50.51702499,30.45969772,,2
2,20000.0,134.0,Шевченківський,"Десятинний пров., 7",50.45706558,30.51633072,Поштова площа,3
2,25858.0,100.0,Печерський,"Велика Васильківська вул. (Червоноармійська), 29",50.43817139,30.51641846,Площа Льва Толстого,3
1,12000.0,65.0,Печерський,"Кловський узвiз, 20",50.43650436,30.54084587,,3
2,24000.0,92.0,Солом'янський,"Липківского Василя вул. (Урицького), 38",50.43258286,30.47502327,,2
1,27705.0,95.0,Печерський,"Василя Тютюнника вул. (Барбюса Анрі), 51/1",50.41756439,30.52821732,Либідська,3
1,17500.0,80.0,Печерський,"Євгена Коновальця вул. (Щорса), 36е",50.42405319,30.53423882,,3
3,19900.0,206.0,Дніпровський,"Окіпної Раїси вул., 10а",50.44819641,30.58986664,,1
2,16000.0,92.0,Солом'янський,"Польова вул., 73",,,,2
2,23000.0,95.0,Солом'янський,"Липківского Василя вул. (Урицького), 37б",50.43058395,30.478237149999998,,2
2,21000.0,130.0,Шевченківський,"Берестейський просп. (Перемоги), 65б",50.45892715,30.40966606,,3
2,23000.0,99.0,Солом'янський,"Липківского Василя вул. (Урицького), 37Б",50.43013382,30.47842789,,2
2,11000.0,83.0,Печерський,"Михайла Бойчука вул. (Кіквідзе), 18б",50.41370773,30.5472641,,3
1,11000.0,84.0,Оболонський,"Сім’ї Кульженків вул. (Дехтяренка Петра), 31а",50.52072525,30.4679451,,2
2,30000.0,97.0,Шевченківський,"Чорновола В'ячеслава вул., 27",50.45363235,30.4850769,,3
1,10000.0,70.0,Шевченківський,"Половецька вул., 16б",50.46796799,30.48247528,,3
1,9000.0,59.0,Оболонський,"Оболонський просп., 16Б",50.50774002,30.50016403,Мінська,2
3,44328.0,172.0,Печерський,"Драгомирова вул., 3",50.41259384,30.54688644,,3
2,20317.0,99.0,Дніпровський,"Микільсько-Слобідська вул., 3а",50.45006561,30.58641624,,1
1,44328.0,106.0,Голосіївський,"Деміївська вул., 29",50.40247726,30.51112747,Деміївська,3
2,14500.0,77.0,Подільський,"Тираспольська вул., 54",50.48158646,30.41464043,,3
4,173618.0,218.0,Печерський,"Драгомирова вул., 19Б",50.4071579,30.54362679,,3
2,11000.0,73.0,Подільський,"Межова вул., 23б",50.50912857,30.43311501,,3
3,16000.0,139.0,Святошинський,"Чорнобильська вул., 24/26",50.46538162,30.3464241,,2
1,14000.0,76.0,Дніпровський,"Регенераторна вул., 4 к1",50.4377327,30.62266541,,1
3,36000.0,200.0,Печерський,"Князів Острозьких вул. (Московська), 46/2",50.43246841,30.54452705,,3
2,20000.0,110.0,Дарницький,"Ревуцького вул., 40г",50.40192795,30.64964676,,1
1,17000.0,79.0,Голосіївський,"Дубініна Володі вул., 2",50.39024353,30.49715614,Васильківська,3
2,16000.0,153.0,Шевченківський,"Дмитрівська вул., 69",50.4548111,30.48681259,,3
2,16000.0,94.0,Печерський,"Федорова Івана вул., 1",50.42779922,30.52073479,Олімпійська,3
4,30000.0,222.0,Печерський,"Євгена Коновальця вул. (Щорса), 32в",50.42521286,30.53158951,,3
1,10000.0,58.0,Шевченківський,"Половецька вул., 16Б",50.46796799,30.48247528,,3
1,11999.0,75.0,Дніпровський,"Каховська вул., 60",50.4629631,30.59122086,,1
