rooms,price,flat_area,district,address,subway,prestigious,Closest_subway,Closest_subway_location,Distance to subway in (m),Time to walk to subway,Distance to subway in seconds,target_location,Distance to subway in (km),Duration to subway in mins
3,16000.0,129.8,Дніпровський,"Митрополита Андрея Шептицького вул. (Луначарського Анатолія), 3б",,1,Livoberezhna,"50.451864, 30.59815699999999",1145.0,16 mins,963.0,"50.45659256,30.58795357",1.1,16.0
2,32507.2,150.0,Печерський,"Євгена Коновальця вул. (Щорса), 32Б",,3,Pecherska,"50.4272737, 30.539398",949.0,13 mins,752.0,"50.42583847,30.5324955",0.9,13.0
2,17000.0,90.0,Голосіївський,"Юнацька, 17",,3,Vasylkivska,"50.393331, 30.488194",1270.0,16 mins,940.0,"50.39250565,30.47151184",1.3,16.0
3,16000.0,164.0,Шевченківський,"Бехтерівський пров., 10",,3,Lukianivska,"50.46114710000001, 30.48363239999999",1345.0,16 mins,981.0,"50.45778656,30.49622536",1.3,16.0
3,36940.0,202.0,Солом'янський,"Гарматна вул., 38 А",,2,Shuliavska,"50.45422809999999, 30.44862209999999",2620.0,33 mins,1961.0,"50.44262314,30.42978859",2.6,33.0
3,33246.0,165.0,Печерський,"Василя Тютюнника вул. (Барбюса Анрі), 22/26",Олімпійська,3,Palats Ukraina,"50.4214131, 30.5207637",693.0,8 mins,473.0,"50.42534637,30.52252007",0.7,8.0
2,15000.0,140.0,Голосіївський,"Науки просп., 69",,3,Vydubychi,"50.401822, 30.56048799999999",5417.0,1 hour 6 mins,3931.0,"50.37609482,30.54085732",5.4,66.0
1,12000.0,80.0,Оболонський,"Кондратюка Юрія вул., 7",,2,,,,,,"nan,nan",,0.0
2,48022.0,118.0,Шевченківський,"Софіївська вул., 16/16",Майдан Незалежності,3,Khreshchatyk,"50.4473449, 30.5227597",885.0,11 mins,641.0,"50.4523735,30.51799583",0.9,11.0
2,28000.0,104.0,Голосіївський,"Велика Васильківська вул. (Червоноармійська), 80",Площа Льва Толстого,3,Olimpiiska,"50.4312893, 30.5168687",369.0,5 mins,277.0,"50.43088531,30.51569176",0.4,5.0
2,10000.0,81.0,Шевченківський,"Данила Щербаківського вул. (Щербакова), 57в",,3,Syrets,"50.47676180000001, 30.4327791",2340.0,28 mins,1666.0,"50.47812653,30.40314674",2.3,28.0
5,129290.0,424.0,Шевченківський,"Хмельницького Богдана вул., 78",,3,Universytet,"50.4432683, 30.5046312",923.0,13 mins,790.0,"50.4480629,30.50206375",0.9,13.0
1,12000.0,57.0,Голосіївський,"Самійла Кішки вул. (Конєва), 5а",Іподром,3,Ipodrom,"50.37657470000001, 30.4688445",965.0,13 mins,755.0,"50.38169861,30.46366692",1.0,13.0
2,19000.0,128.4,Печерський,"Євгена Коновальця вул. (Щорса), 32-в",Палац Україна,3,Pecherska,"50.4272737, 30.539398",915.0,13 mins,763.0,"50.42533875,30.53157234",0.9,13.0
2,25000.0,164.0,Голосіївський,"Казимира Малевича вул. (Боженка), 48",Палац Україна,3,Palats Ukraina,"50.4214131, 30.5207637",754.0,10 mins,607.0,"50.42341614,30.51366997",0.8,10.0
2,10000.0,92.0,Солом'янський,"Карела Чапека вул. (Фучіка Юліуса), 15",,2,Politekhnichnyi instytut,"50.4511297, 30.46429349999999",4058.0,52 mins,3143.0,"50.44026947,30.46907425",4.1,52.0
1,10500.0,82.0,Дарницький,"Драгоманова вул., 1Г",,1,Kharkivska,"50.40067610000001, 30.6520895",2530.0,32 mins,1911.0,"50.41769409,30.63632011",2.5,32.0
3,36903.06,335.0,Шевченківський,"Тургенєвська вул., 46/11",,3,Lukianivska,"50.46114710000001, 30.48363239999999",1169.0,15 mins,904.0,"50.45239639,30.49197388",1.2,15.0
2,16000.0,84.6,Шевченківський,"Загорівська вул. (Багговутівська), 1В",,3,Lukianivska,"50.46114710000001, 30.48363239999999",1737.0,20 mins,1224.0,"50.47238159,30.47124481",1.7,20.0
4,20000.0,206.0,Печерський,"Левандовська вул. (Аніщенка), 14",,3,Arsenalna,"50.4430624, 30.54715739999999",861.0,11 mins,634.0,"50.43871307,30.54673386",0.9,11.0
1,12000.0,56.0,Шевченківський,"Берестейський просп. (Перемоги), 3 ",,3,Vokzalna,"50.44133530000001, 30.489963",1096.0,14 mins,847.0,"50.4470787,30.48861504",1.1,14.0
2,22164.0,140.0,Голосіївський,"Тарасівська вул., 29/50",Олімпійська,3,Olimpiiska,"50.4312893, 30.5168687",1186.0,15 mins,891.0,"50.43470764,30.50608826",1.2,15.0
3,48022.0,255.0,Печерський,"Драгомирова вул., 12",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",767.0,11 mins,654.0,"50.41279221,30.54558754",0.8,11.0
1,12500.0,55.0,Шевченківський,"Берестейський просп. (Перемоги), 3",,3,Vokzalna,"50.44133530000001, 30.489963",1096.0,14 mins,847.0,"50.4470787,30.48861504",1.1,14.0
3,11500.0,120.0,Оболонський,"Володимира Івасюка просп. (Героїв Сталінграда), 28",Мінська,2,Minska,"50.51224200000001, 30.498551",1362.0,18 mins,1071.0,"50.51385117,30.50930977",1.4,18.0
1,13000.0,55.0,Голосіївський,"Васильківська вул., 100 а",Виставковий центр,3,Vystavkovyi tsentr,"50.3824347, 30.47758",82.0,1 min,58.0,"50.38207245,30.4763031",82 m,1.0
2,10000.0,109.3,Печерський,"Предславинська вул., 49",Палац Україна,3,Lybidska,"50.41398259999999, 30.5248848",773.0,9 mins,544.0,"50.41808319,30.52579308",0.8,9.0
2,15000.0,82.0,Голосіївський,"Жилянська вул., 45",Олімпійська,3,Olimpiiska,"50.4312893, 30.5168687",1234.0,16 mins,943.0,"50.43437195,30.50447845",1.2,16.0
3,110820.0,250.0,Печерський,"Болсуновська вул. (Струтинського), 2а",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",1083.0,15 mins,900.0,"50.4211731,30.55217743",1.1,15.0
