rooms,price,flat_area,district,address,subway,prestigious,Closest_subway,Closest_subway_location,Distance Text,Distance Value,Duration Text,Duration Value,target_location
1,10900.0,78.0,Голосіївський,"Метрологічна вул., 40 б",,3,Teremky,"50.3671113, 30.4541397",3.1 km,3125.0,39 mins,2341.0,"50.34973526,30.47470093"
3,30000.0,139.0,Шевченківський,"Хмельницького Богдана вул., 1",,3,Universytet,"50.4432683, 30.5046312",0.6 km,608.0,9 mins,517.0,"50.44655991,30.5074749"
1,27705.0,99.0,Печерський,"Велика Васильківська вул. (Червоноармійська), 139",Либідська,3,Lybidska,"50.41398259999999, 30.5248848",47 m,47.0,1 min,34.0,"50.41445923,30.52517128"
1,29552.0,124.0,Печерський,"Василя Тютюнника вул. (Барбюса Анрі), 52",Либідська,3,Lybidska,"50.41398259999999, 30.5248848",0.7 km,715.0,8 mins,500.0,"50.41840744,30.52668762"
2,49869.0,110.0,Печерський,"Предславинська вул., 55",Либідська,3,Lybidska,"50.41398259999999, 30.5248848",0.4 km,362.0,4 mins,268.0,"50.41569138,30.52665329"
1,11000.0,86.0,Дарницький,"Григоренка Петра просп., 28",,1,Pozniaky,"50.3978642, 30.6347451",1.1 km,1140.0,14 mins,858.0,"50.40552521,30.62908745"
1,15000.0,75.0,Голосіївський,"Рудницького Степана вул. (Вільямса академіка), 19-14",,3,Ipodrom,"50.37657470000001, 30.4688445",1.5 km,1485.0,19 mins,1150.0,"50.38436508,30.4560318"
2,14000.0,76.0,Голосіївський,"Симоненка  вул., 5А",,3,Vystavkovyi tsentr,"50.3824347, 30.47758",1.7 km,1705.0,21 mins,1264.0,"50.38806915,30.46506691"
1,12000.0,80.0,Оболонський,"Пріорська вул., 16",,2,Minska,"50.51224200000001, 30.498551",3.9 km,3869.0,49 mins,2933.0,"50.50867081,30.45654106"
2,6000.0,82.0,Шевченківський,"Салютна вул., 10",,3,Beresteiska,"50.4593178, 30.4186364",1.8 km,1797.0,23 mins,1363.0,"50.47145844,30.41115761"
2,20000.0,90.0,Подільський,"Сергія Данченка вул., 34",,3,Syrets,"50.47676180000001, 30.4327791",3.3 km,3307.0,41 mins,2477.0,"50.49744797,30.44235611"
1,7000.0,88.0,Дарницький,"Дніпровська наб., 19в",,1,Osokorky,"50.395248, 30.616231",1.5 km,1502.0,20 mins,1185.0,"50.40735626,30.61492157"
2,12000.0,130.0,Дарницький,"Вишняківська вул., 13",,1,Kharkivska,"50.40067610000001, 30.6520895",1.1 km,1064.0,14 mins,831.0,"50.39470291,30.64710617"
2,10800.0,138.0,Дарницький,"Ахматової Анни вул., 28",,1,Pozniaky,"50.3978642, 30.6347451",2.0 km,2021.0,25 mins,1528.0,"50.40945816,30.62238503"
2,9500.0,150.0,Дарницький,"Миколи Хвильового вул., 3",,1,Chervonyi khutir,"50.40947300000001, 30.696203",0.8 km,788.0,10 mins,593.0,"50.41332245,30.68814468"
1,9000.0,62.0,Печерський,"Василя Тютюнника вул. (Барбюса Анрі), 56/2",Либідська,3,Lybidska,"50.41398259999999, 30.5248848",0.6 km,560.0,7 mins,395.0,"50.41723251,30.52680969"
2,8000.0,94.0,Деснянський,"Градинська вул., 18",,1,,,,,,,"50.51988602,30.59832382"
1,7500.0,64.0,Деснянський,"Лісовий просп., 41",,1,Lisova,"50.4646598, 30.64556570000001",3.4 km,3370.0,42 mins,2494.0,"50.48553467,30.64038658"
