link,rooms,price,flat_area,premium,district,address,latitude,longitude,subway,floor,type_of_house,type_of_rooms,type_of_condition,Unnamed: 14,prestigious,code type,closest_subway,subway_location,distance_to_subway,distance_category
https://rieltor.ua/flats-rent/view/10772542/,2.0,22000.0,101.0,no,Печерський,"Драгомирова вул., 4б",50.4116478,30.54468155,,11,None,None,Євроремонт,,3,4,Дружби народів,"50.418056, 30.545",0.7129165007282702,1
https://rieltor.ua/flats-rent/view/10826177/,1.0,12000.0,63.0,no,Голосіївський,"Наддніпрянське шосе, 1-А",50.39183807,30.55809212,,6,Українська панель,Суміжна,Євроремонт,,2,4,Видубичі,"50.402222, 30.560833",1.1708712385837183,1
https://rieltor.ua/flats-rent/view/10826113/,1.0,10000.0,84.0,no,Голосіївський,"Михайла Максимовича, 7А",50.38463211,30.45853996,Іподром,9,Українська цегла,Роздільне,Євроремонт,,2,4,Іподром,"50.376556, 30.469117",1.1700123092198698,1
https://rieltor.ua/flats-rent/view/10813326/,1.0,8000.0,73.0,no,Святошинський,"Ушакова Миколи вул., 14а",50.45963287,30.33897972,,1,Стара цегла,Роздільне,Хороший стан,,1,3,Житомирська,"50.456175, 30.365628",1.9252618248997824,1
https://rieltor.ua/flats-rent/view/10733523/,2.0,27000.0,130.0,no,Печерський,"Хрещатик вул., 21",50.44615555,30.52227402,,2,Сталінка,Роздільне,Євроремонт,,3,4,Хрещатик,"50.44726, 30.52483",0.2187182399409384,1
https://rieltor.ua/flats-rent/view/10826010/,1.0,10000.0,80.0,no,Деснянський,"Оноре Бальзака, 63",50.52025223,30.6064682,,11,None,Роздільне,Євроремонт,,1,4,Лісова,"50.464639, 30.645556",6.773945771128116,3
https://rieltor.ua/flats-rent/view/10771267/,3.0,18000.0,180.0,no,Дарницький,"Дніпровська наб., 19",50.40762329,30.61124229,,12,None,Роздільне,Євроремонт,,1,4,Осокорки,"50.395278, 30.616111",1.4154414877249135,1
https://rieltor.ua/flats-rent/view/10527198/,4.0,33246.0,271.0,no,Печерський,"Василя Тютюнника вул. (Барбюса Анрі), 5в",50.42960739,30.5228672,Олімпійська,3,None,Роздільне,Дизайнерський ремонт,,3,5,Олімпійська,"50.431944, 30.516389",0.5273174873260468,1
https://rieltor.ua/flats-rent/view/10426815/,5.0,60000.0,320.0,no,Печерський,"Хрещатик вул., 15",50.44781113,30.52472878,,2,Сталінка,Роздільне,Євроремонт,,3,4,Хрещатик,"50.44726, 30.52483",0.0617005374490693,1
https://rieltor.ua/flats-rent/view/10724223/,3.0,15000.0,141.0,no,Печерський,"Лесі Українки бульв., 9в",50.43371582,30.53400421,,9,Українська цегла,Роздільне,Хороший стан,,3,3,Кловська,"50.436944, 30.531667",0.3952869878805409,1
https://rieltor.ua/flats-rent/view/10549607/,2.0,6000.0,86.5,no,Святошинський,"Зодчих вул., 26",50.41758728,30.37711716,,5,None,Роздільне,Хороший стан,,1,3,Житомирська,"50.456175, 30.365628",4.367231992112819,2
https://rieltor.ua/flats-rent/view/10821766/,5.0,81268.0,341.0,no,Печерський,"Драгомирова вул., 9",50.41012192,30.54658699,,8,Українська цегла,Роздільне,Дизайнерський ремонт,,3,5,Дружби народів,"50.418056, 30.545",0.8893670414596836,1
https://rieltor.ua/flats-rent/view/10813474/,2.0,6500.0,102.0,no,Деснянський,"Драйзера Теодора вул., 40",50.51471329,30.59343338,,8,None,Роздільне,Хороший стан,,1,3,Чернігівська,"50.459722, 30.630833",6.662672109007483,3
https://rieltor.ua/flats-rent/view/10821353/,1.0,40634.0,91.0,no,Печерський,"Джона Маккейна вул. (Кудрі Івана), 1Б",50.41460419,30.52643013,Либідська,12,Українська цегла,Роздільне,Євроремонт,,3,4,"Палац ""Україна""","50.420833, 30.520833",0.7981082143573985,1
https://rieltor.ua/flats-rent/view/10817540/,1.0,15000.0,69.0,no,Шевченківський,"Чорновола В'ячеслава вул., 27",50.45363235,30.4850769,,5,Бетонно монолітний,Роздільне,Чудовий стан,,3,4,Лук'янівська,"50.462222, 30.481667",0.9851573718087973,1
https://rieltor.ua/flats-rent/view/10825739/,2.0,17000.0,123.0,no,Шевченківський,"Дегтярівська вул., 25А",50.4601326,30.4527607,,20,None,None,Євроремонт,,3,4,Шулявська,"50.455, 30.445278",0.7786656030566323,1
https://rieltor.ua/flats-rent/view/10607104/,4.0,84962.0,289.0,no,Шевченківський,"Тургенєвська вул., 44",50.45217514,30.49246216,,18,Українська цегла,Роздільне,Євроремонт,,3,4,Вокзальна,"50.441667, 30.4875",1.220137070029074,1
